Artist,Song,Row Type,Status,Current Catalog Entry,Qualified Next Wave Addition,Active Catalog Gain This Wave,Song or Source ID,Format,Key,Chord Count,Transpose Checks,Reason,Git Payload Path,Source Archive,Source Path,Wave ID
ABBA,Slipping Through My Fingers,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,1cdf20977966f66fbb4f7ba4d2a227186ab844e7bc55bc4568e991fb921e6f40,gpx,F,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
ABBA,SOS,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,496181e3fc599f727e5ef58169997c9c7c50106e2f40531c0e859ad9ed721786,gpx,D,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
ABBA,Super Trouper,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,11140ef2d9bd202ec3b6e06db7cc179894809535c9d5a25fa09be8b234654c7d,gpx,C,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
ABBA,Take A Chance On Me,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,be9011c3a11f4cedf244dd625d72fcbc809c0d2fcadc40db2cacf7232b211a54,gpx,B,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
ABBA,Thank You For The Music,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,22e5e1a82fb9a2a2d49100548bf3100b6facd6fc7515e100f8e1804cfbabd8ee,gpx,E,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
ABBA,The winner takes it all,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,8f9c689da418748edafe570a306d27953535fa1ec5c1f7ca1e4dda60b1716008,gpx,F♯,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
ABBA,Waterloo,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,f716407ab613c3cc439410babae2c0786f0f86c718246540bcc35418d760a161,gpx,C,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
ABBA,When I Kissed The Teacher,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,0c7bb4df1e26807e57c608e5d97b95030f64cd5c358da098ce6f8300a14bc158,gpx,E♭,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
ABBA,Why Did It Have To Be Me?,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,9933ffa9e66653921bd38c6169a0c7a7cc8c3ce51c041c83b3168dc4f3e02280,gpx,G,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
ABBA,ABBA GOLD (medley pour orchestre),CANDIDATE_SOURCE,PENDING_PARSE_AND_QA,0,0,0,25b680d0fe099d07ae0b1acf6cf823a670f6011584d8dfdf461d8ca23d478b7e,gp3,,,,Raw source parsing not executed,,GuitarPro_Tabs.rar,GuitarPro_Tabs/Abba - ABBA GOLD (medley pour orchestre).gp3,GFB-V6.0-CATALOG-R03
